nome,preco,tipo,unidade
"Temperatura - 03 citações de 10s",1269.00,Patrocínio,"DEMAIS FM 101,1"
"Patrocínio Jornal Demais News - 2 citações em rede (3 cotas)",2500.00,Impacto Jornalístico,
"Patrocínio Jornal + 2ª edição 16h - 6 citações locais (3 cotas)",2250.00,Impacto Jornalístico,
"Matéria Jornalística Escrita - Portal Demais News",500.00,Impacto Jornalístico,
"Matéria Jornalística em Vídeo (redes/YouTube/site)",800.00,Impacto Jornalístico,
"Publicidade Editorial (entrevista ao vivo + Bate Papo Legal Demais)",1000.00,Impacto Jornalístico,
"Notas e Avisos - 02 citações de 10s (3 cotas)",850.00,Impacto Jornalístico,"DEMAIS FM 101,1"
"Patrocínio Programa 10 É Bom Demais (3 cotas)",3034.90,Patrocínio,"DEMAIS FM 104,7"
"Patrocínio Programa 10 É Bom Demais (3 cotas)",3034.90,Patrocínio,"DEMAIS FM 107,9"
"Patrocínio Programa 10 É Bom Demais (3 cotas)",1692.90,Patrocínio,"DEMAIS FM 101,1"
"Patrocínio A Tarde É Demais / Virou Sucesso / Misturadão (cota única)",3034.90,Patrocínio,"DEMAIS FM 104,7"
"Patrocínio A Tarde É Demais / Virou Sucesso / Misturadão (cota única)",3034.90,Patrocínio,"DEMAIS FM 107,9"
"Patrocínio A Tarde É Demais / Virou Sucesso / Misturadão (cota única)",1692.90,Patrocínio,"DEMAIS FM 101,1"
"Patrocínio Manhã Demais (cota única)",3492.00,Patrocínio,"DEMAIS FM 104,7"
"Patrocínio Manhã Demais (cota única)",3492.00,Patrocínio,"DEMAIS FM 107,9"
"Patrocínio Manhã Demais (cota única)",1945.80,Patrocínio,"DEMAIS FM 101,1"
"Patrocínio Madrugando / Acorda Aí / Pode Pedir (cota única)",2684.00,Patrocínio,"DEMAIS FM 104,7"
"Patrocínio Madrugando / Acorda Aí / Pode Pedir (cota única)",2684.00,Patrocínio,"DEMAIS FM 107,9"
"Patrocínio Madrugando / Acorda Aí / Pode Pedir (cota única)",1329.90,Patrocínio,"DEMAIS FM 101,1"
"Patrocínio Frequência Dance / Espaço Regionalista / Domingo Especial",1186.40,Patrocínio,
"Patrocínio Canções e Emoções (cota única)",2184.80,Patrocínio,"DEMAIS FM 104,7"
"Patrocínio Canções e Emoções (cota única)",2184.80,Patrocínio,"DEMAIS FM 107,9"
"Patrocínio Canções e Emoções (cota única)",1083.60,Patrocínio,"DEMAIS FM 101,1"
"Patrocínio Pra Dançar Demais (cota única)",1852.00,Patrocínio,"DEMAIS FM 104,7"
"Patrocínio Pra Dançar Demais (cota única)",1852.00,Patrocínio,"DEMAIS FM 107,9"
"Patrocínio Pra Dançar Demais (cota única)",919.40,Patrocínio,"DEMAIS FM 101,1"
"Vídeo no Feed (Facebook & Instagram)",500.00,Digital,
"Vídeo no Feed com Drone (Facebook & Instagram)",800.00,Digital,
"Banner no Feed (Facebook & Instagram)",260.00,Digital,
"Cobertura Digital de Evento - Pacote 2h de Presença",1300.00,Digital,
"Banner App Demais FM (5 banners 1200x800px - 30 dias)",300.00,Digital,"DEMAIS FM 104,7"
"Banner App Demais FM (5 banners 1200x800px - 30 dias)",300.00,Digital,"DEMAIS FM 107,9"
"Banner App Demais FM (5 banners 1200x800px - 30 dias)",300.00,Digital,"DEMAIS FM 101,1"
"Banner Site Demais News - Principal Topo 970x150 (30 dias)",1000.00,Digital,
"Banner Site Demais News - Meio 970x150 (30 dias)",750.00,Digital,
"Banner Site Demais News - Quadrado Lateral 245x245 (30 dias)",300.00,Digital,
"Banner Site Demais News - Retângulo Pequeno 340x52 (30 dias)",250.00,Digital,
"Apresentador Demais FM + Locação de Sala (até 2h)",2500.00,Podcast,"DEMAIS FM 104,7"
"Apresentador Demais FM + Locação de Sala (até 2h)",2500.00,Podcast,"DEMAIS FM 107,9"
"Apresentador Demais FM + Locação de Sala (até 2h)",2000.00,Podcast,"DEMAIS FM 101,1"
"Locação de Sala e Equipamentos para Podcast",1500.00,Podcast,"DEMAIS FM 104,7"
"Locação de Sala e Equipamentos para Podcast",1500.00,Podcast,"DEMAIS FM 107,9"
"Locação de Sala e Equipamentos para Podcast",1200.00,Podcast,"DEMAIS FM 101,1"
"Podmais - Marca Patrocinadora (04 testemunhais + 35 citações + banners + TV)",1000.00,Podcast,"DEMAIS FM 104,7"
"Podmais - Marca Patrocinadora (04 testemunhais + 35 citações + banners + TV)",1000.00,Podcast,"DEMAIS FM 107,9"
"Podmais - Marca Patrocinadora (04 testemunhais + 35 citações + banners + TV)",750.00,Podcast,"DEMAIS FM 101,1"
"Podmais - Apoio (marca na TV + 35 menções + legenda, até 6 cotas)",500.00,Podcast,"DEMAIS FM 104,7"
"Podmais - Apoio (marca na TV + 35 menções + legenda, até 6 cotas)",500.00,Podcast,"DEMAIS FM 107,9"
"Podmais - Apoio (marca na TV + 35 menções + legenda, até 6 cotas)",350.00,Podcast,"DEMAIS FM 101,1"
